connection_id,success,connection_time,total_messages,first_message_time,last_message_time,total_duration,error_message
1,True,0.279,4,0.280,13.060,16.293,
2,True,0.273,4,0.273,12.972,16.282,
3,True,0.274,3,0.275,12.640,16.286,
4,True,0.279,3,0.280,12.537,16.298,
5,True,0.280,3,0.282,12.442,16.290,
6,True,0.277,3,0.282,12.350,16.292,
7,True,0.271,3,0.272,12.247,16.276,
8,True,0.321,3,0.323,12.166,16.340,
9,True,0.280,3,0.284,12.135,16.296,
10,True,0.288,2,0.291,8.486,16.309,
11,True,0.294,2,0.295,8.452,16.304,
12,True,0.287,2,0.290,8.390,16.297,
13,True,0.272,2,0.275,8.359,16.276,
14,True,0.277,2,0.279,8.305,16.298,
15,True,0.275,2,0.283,8.222,16.284,
16,True,0.286,2,0.288,8.183,16.298,
17,True,0.285,3,0.288,15.184,16.297,
18,True,0.303,2,0.308,8.079,16.316,
19,True,0.292,3,0.295,14.983,16.300,
20,True,0.302,3,0.312,15.200,16.310,
